district,state,subdivision,section,area,catdesc,catcode,total_services,billed_services,units,load
Hyderabad central,Azamabad,VST,Musheerabad,S.R.T.PARK,domestic,1,1,1.0,386,3.0
Hyderabad central,Azamabad,VST,Musheerabad,SAGARLAL HOSPITAL AREA,domestic,1,3,3.0,1127,15.0
Hyderabad central,Azamabad,VST,Musheerabad,SASTRY NAGAR MAIN ROAD,domestic,1,2,2.0,435,5.0
Hyderabad central,Azamabad,VST,Musheerabad,SHIVALAYAM I,domestic,1,3,3.0,615,15.0
Hyderabad central,Azamabad,VST,Musheerabad,SHIVALAYAM I,non-domestic and commercial,2,1,1.0,0,7.0
Hyderabad central,Azamabad,VST,Musheerabad,SPENCER AREA,domestic,1,3,3.0,1026,14.0
Hyderabad central,Azamabad,VST,Musheerabad,SRK NAGAR,domestic,1,6,6.0,2206,25.0
Hyderabad central,Azamabad,VST,Musheerabad,TRT QUATERS(RAM NAGAR),domestic,1,3,3.0,1099,12.0
Hyderabad central,Azamabad,VST,Musheerabad,ZAMISTHANPUR,domestic,1,1,1.0,135,5.0
Hyderabad central,Azamabad,VST,Narayana guda,CT METER,non-domestic and commercial,2,1,1.0,516,40.0
Hyderabad central,Azamabad,VST,Narayana guda,ESWAR REDDY LINE(B),domestic,1,2,2.0,614,9.0
Hyderabad central,Azamabad,VST,Narayana guda,GRC HV NARAYANAGUDA,non-domestic and commercial,2,2,2.0,1460,28.0
Hyderabad central,Azamabad,VST,Narayana guda,NET METER 54,domestic,1,38,38.0,10656,205.0
Hyderabad central,Azamabad,VST,Narayana guda,NET METER 54,non-domestic and commercial,2,14,14.0,8679,376.0
Hyderabad central,Azamabad,VST,Narayana guda,NET METER 54,general purpose,7,2,2.0,3283,86.0
Hyderabad central,Azamabad,VST,Narayana guda,"NO:8,B.L.PALLY(B)",domestic,1,1,1.0,19,5.3
Hyderabad central,Azamabad,VST,Narayana guda,OLD LINGAMPALLY(B),domestic,1,2,2.0,934,12.0
Hyderabad central,Azamabad,VST,Narayana guda,SOAP FACTORY(B),domestic,1,1,1.0,276,5.0
Hyderabad central,Azamabad,VST,Narayana guda,"TEMPLE I , II (B)",domestic,1,6,6.0,2315,34.0
Hyderabad central,Azamabad,VST,Narayana guda,VAISTAVI CONSTANCTION APT(B),domestic,1,1,1.0,299,5.0
Hyderabad central,Azamabad,VST,Narayana guda,VITTALWADI(A),domestic,1,2,2.0,540,8.0
Hyderabad central,Azamabad,VST,Ramnagar,CT METERS,non-domestic and commercial,2,1,1.0,0,17.0
Hyderabad central,Azamabad,VST,Ramnagar,NET METER 69,domestic,1,39,39.0,10988,177.0
Hyderabad central,Azamabad,VST,Ramnagar,NET METER 69,non-domestic and commercial,2,4,4.0,1487,60.0
Hyderabad central,Saifabad,SAIFABAD,Saifabad,SAIFABAD,general purpose,7,1,1.0,236,61.0
Hyderabad central,Saifabad,SAIFABAD,Saifabad,SHYAM THEATRE AREA,domestic,1,1,1.0,221,3.0
Hyderabad central,Saifabad,SAIFABAD,Saifabad,SUKUMANI APARTMENT AREA,non-domestic and commercial,2,1,1.0,65,25.0
Hyderabad central,Saifabad,SAIFABAD,Saifabad,SUNSENSATION CINIMA(MEERA),domestic,1,2,2.0,1077,10.0
Hyderabad central,Saifabad,SAIFABAD,Saifabad,TELEPHONE BHAVAN,non-domestic and commercial,2,2,2.0,0,57.0
Hyderabad central,Saifabad,SAIFABAD,Somajiguda,AMRUTHA ESTATE(MEDINOVA),domestic,1,3,3.0,1108,18.0
Hyderabad central,Saifabad,SAIFABAD,Somajiguda,BALAPURA,domestic,1,2,2.0,2393,62.0
Hyderabad central,Saifabad,SAIFABAD,Somajiguda,KAPADIA LANE,non-domestic and commercial,2,1,1.0,1550,20.0
Hyderabad central,Saifabad,SAIFABAD,Somajiguda,NETMETER-SOMAJIGUDA,domestic,1,7,7.0,6205,902.1
Hyderabad central,Saifabad,SAIFABAD,Somajiguda,NETMETER-SOMAJIGUDA,non-domestic and commercial,2,5,5.0,76,119.0
Hyderabad central,Saifabad,SAIFABAD,Somajiguda,NETMETER-SOMAJIGUDA,general purpose,7,1,1.0,0,25.0
Hyderabad central,Saifabad,SAIFABAD,Somajiguda,RAJ BHAVAN ROAD RIGHT,domestic,1,1,1.0,974,18.0
Hyderabad central,Saifabad,SAIFABAD,Somajiguda,RAJ BHAVAN ROAD RIGHT,non-domestic and commercial,2,1,1.0,503,12.0
Hyderabad central,Saifabad,SAIFABAD,Somajiguda,RAJ NAGAR SOUTH,domestic,1,1,1.0,433,5.0
Hyderabad central,Saifabad,SAIFABAD,Somajiguda,"RENUKA ENCLAVE, ASIF AVENUE",domestic,1,1,1.0,346,8.0
Hyderabad central,Saifabad,SAIFABAD,Somajiguda,"RENUKA ENCLAVE, ASIF AVENUE",non-domestic and commercial,2,2,2.0,3161,90.0
Hyderabad central,Saifabad,SAIFABAD,Somajiguda,SANGEETHA NAGAR,domestic,1,2,2.0,630,16.0
Hyderabad central,Saifabad,SAIFABAD,Somajiguda,SANGEETHA NAGAR,non-domestic and commercial,2,1,1.0,215,12.0
Hyderabad central,Saifabad,SAIFABAD,Somajiguda,SOMAJIGUDA AREA,domestic,1,1,1.0,562,22.0
Hyderabad central,Saifabad,SAIFABAD,Somajiguda,VIDYUT SOUDHA RAOD,domestic,1,3,3.0,1205,18.0
Hyderabad central,Saifabad,SAIFABAD,Somajiguda,VIDYUT SOUDHA RAOD,non-domestic and commercial,2,1,1.0,281,5.0
